query,query_pid,query_cam,model,rank,gallery,gallery_pid,gallery_cam,distance,correct
0783_c6s2_077343_00.jpg,783,6,Baseline,1,0783_c4s4_039235_05.jpg,783,4,0.674918,True
0783_c6s2_077343_00.jpg,783,6,Baseline,2,0783_c1s4_039381_02.jpg,783,1,0.718763,True
0783_c6s2_077343_00.jpg,783,6,Baseline,3,0783_c3s2_099053_02.jpg,783,3,0.749004,True
0783_c6s2_077343_00.jpg,783,6,Baseline,4,0783_c4s4_039210_03.jpg,783,4,0.753361,True
0783_c6s2_077343_00.jpg,783,6,Baseline,5,0783_c5s2_100377_02.jpg,783,5,0.815835,True
0783_c6s2_077343_00.jpg,783,6,Semantic,1,0783_c4s4_039235_05.jpg,783,4,0.644772,True
0783_c6s2_077343_00.jpg,783,6,Semantic,2,0783_c3s2_099053_02.jpg,783,3,0.688994,True
0783_c6s2_077343_00.jpg,783,6,Semantic,3,0783_c4s4_039210_03.jpg,783,4,0.712239,True
0783_c6s2_077343_00.jpg,783,6,Semantic,4,0783_c1s4_039381_02.jpg,783,1,0.715710,True
0783_c6s2_077343_00.jpg,783,6,Semantic,5,0783_c5s2_100352_03.jpg,783,5,0.740114,True
0783_c6s2_077343_00.jpg,783,6,Local Rel.,1,0783_c4s4_039235_05.jpg,783,4,0.573103,True
0783_c6s2_077343_00.jpg,783,6,Local Rel.,2,0783_c4s4_039210_03.jpg,783,4,0.624305,True
0783_c6s2_077343_00.jpg,783,6,Local Rel.,3,0783_c3s2_099053_02.jpg,783,3,0.641108,True
0783_c6s2_077343_00.jpg,783,6,Local Rel.,4,0783_c1s4_039381_02.jpg,783,1,0.679679,True
0783_c6s2_077343_00.jpg,783,6,Local Rel.,5,0783_c4s4_044135_02.jpg,783,4,0.696908,True
0783_c6s2_077343_00.jpg,783,6,Semantic+Rel.,1,0783_c4s4_039235_05.jpg,783,4,0.621480,True
0783_c6s2_077343_00.jpg,783,6,Semantic+Rel.,2,0783_c4s4_039210_03.jpg,783,4,0.674714,True
0783_c6s2_077343_00.jpg,783,6,Semantic+Rel.,3,0783_c3s2_099053_02.jpg,783,3,0.700966,True
0783_c6s2_077343_00.jpg,783,6,Semantic+Rel.,4,0783_c1s4_039381_02.jpg,783,1,0.717233,True
0783_c6s2_077343_00.jpg,783,6,Semantic+Rel.,5,0783_c2s2_079907_01.jpg,783,2,0.731708,True
0041_c4s6_026516_00.jpg,41,4,Baseline,1,0041_c1s6_027171_01.jpg,41,1,0.421754,True
0041_c4s6_026516_00.jpg,41,4,Baseline,2,0041_c1s6_027196_01.jpg,41,1,0.439783,True
0041_c4s6_026516_00.jpg,41,4,Baseline,3,0041_c2s3_069702_01.jpg,41,2,0.467253,True
0041_c4s6_026516_00.jpg,41,4,Baseline,4,0041_c2s3_057627_01.jpg,41,2,0.470048,True
0041_c4s6_026516_00.jpg,41,4,Baseline,5,0041_c2s3_057652_02.jpg,41,2,0.475234,True
0041_c4s6_026516_00.jpg,41,4,Semantic,1,0041_c1s6_027171_01.jpg,41,1,0.417125,True
0041_c4s6_026516_00.jpg,41,4,Semantic,2,0041_c1s6_027196_01.jpg,41,1,0.463713,True
0041_c4s6_026516_00.jpg,41,4,Semantic,3,0041_c2s3_069702_01.jpg,41,2,0.487256,True
0041_c4s6_026516_00.jpg,41,4,Semantic,4,0041_c2s3_057627_01.jpg,41,2,0.500351,True
0041_c4s6_026516_00.jpg,41,4,Semantic,5,0041_c3s3_075544_02.jpg,41,3,0.510282,True
0041_c4s6_026516_00.jpg,41,4,Local Rel.,1,0041_c1s6_027171_01.jpg,41,1,0.396913,True
0041_c4s6_026516_00.jpg,41,4,Local Rel.,2,0041_c1s6_027196_01.jpg,41,1,0.418266,True
0041_c4s6_026516_00.jpg,41,4,Local Rel.,3,0041_c2s3_069702_01.jpg,41,2,0.422912,True
0041_c4s6_026516_00.jpg,41,4,Local Rel.,4,0041_c2s3_057652_02.jpg,41,2,0.447263,True
0041_c4s6_026516_00.jpg,41,4,Local Rel.,5,0041_c6s4_001977_01.jpg,41,6,0.450686,True
0041_c4s6_026516_00.jpg,41,4,Semantic+Rel.,1,0041_c1s6_027171_01.jpg,41,1,0.435566,True
0041_c4s6_026516_00.jpg,41,4,Semantic+Rel.,2,0041_c1s6_027196_01.jpg,41,1,0.460422,True
0041_c4s6_026516_00.jpg,41,4,Semantic+Rel.,3,0041_c2s3_069702_01.jpg,41,2,0.471616,True
0041_c4s6_026516_00.jpg,41,4,Semantic+Rel.,4,0041_c2s3_057652_02.jpg,41,2,0.486018,True
0041_c4s6_026516_00.jpg,41,4,Semantic+Rel.,5,0041_c2s3_057627_01.jpg,41,2,0.493992,True
1118_c3s2_153744_00.jpg,1118,3,Baseline,1,1118_c5s2_154149_01.jpg,1118,5,0.446739,True
1118_c3s2_153744_00.jpg,1118,3,Baseline,2,1118_c1s5_018286_01.jpg,1118,1,0.523600,True
1118_c3s2_153744_00.jpg,1118,3,Baseline,3,1118_c1s5_026411_02.jpg,1118,1,0.558044,True
1118_c3s2_153744_00.jpg,1118,3,Baseline,4,1118_c6s3_015692_01.jpg,1118,6,0.566449,True
1118_c3s2_153744_00.jpg,1118,3,Baseline,5,1118_c6s3_023467_01.jpg,1118,6,0.611885,True
1118_c3s2_153744_00.jpg,1118,3,Semantic,1,1118_c5s2_154149_01.jpg,1118,5,0.425088,True
1118_c3s2_153744_00.jpg,1118,3,Semantic,2,1118_c1s5_018286_01.jpg,1118,1,0.496264,True
1118_c3s2_153744_00.jpg,1118,3,Semantic,3,1118_c6s3_015692_01.jpg,1118,6,0.547751,True
1118_c3s2_153744_00.jpg,1118,3,Semantic,4,1118_c1s5_026411_02.jpg,1118,1,0.556880,True
1118_c3s2_153744_00.jpg,1118,3,Semantic,5,1118_c6s3_023467_01.jpg,1118,6,0.574086,True
1118_c3s2_153744_00.jpg,1118,3,Local Rel.,1,1118_c5s2_154149_01.jpg,1118,5,0.434360,True
1118_c3s2_153744_00.jpg,1118,3,Local Rel.,2,1118_c1s5_018286_01.jpg,1118,1,0.475207,True
1118_c3s2_153744_00.jpg,1118,3,Local Rel.,3,1118_c6s3_015692_01.jpg,1118,6,0.484358,True
1118_c3s2_153744_00.jpg,1118,3,Local Rel.,4,1118_c1s5_026411_02.jpg,1118,1,0.496560,True
1118_c3s2_153744_00.jpg,1118,3,Local Rel.,5,1118_c6s3_023467_01.jpg,1118,6,0.507239,True
1118_c3s2_153744_00.jpg,1118,3,Semantic+Rel.,1,1118_c5s2_154149_01.jpg,1118,5,0.431309,True
1118_c3s2_153744_00.jpg,1118,3,Semantic+Rel.,2,1118_c1s5_018286_01.jpg,1118,1,0.476334,True
1118_c3s2_153744_00.jpg,1118,3,Semantic+Rel.,3,1118_c6s3_015692_01.jpg,1118,6,0.503178,True
1118_c3s2_153744_00.jpg,1118,3,Semantic+Rel.,4,1118_c6s3_023467_01.jpg,1118,6,0.523433,True
1118_c3s2_153744_00.jpg,1118,3,Semantic+Rel.,5,1118_c1s5_026411_02.jpg,1118,1,0.530228,True
